request_id,created_at,completed_at,caisse,service,request_type,sla_days,processing_days,is_completed,is_success,team_size_fte,productivity_target,within_sla
REQ-00007754,2025-01-02,2025-01-05 05:40:46.046421888,Caisse 04,Remboursements,Mise à jour dossier,5,3.24,True,True,27,29.6,True
REQ-00001949,2025-01-02,2025-01-04 16:33:50.293172908,Caisse 05,Indemnités journalières,Demande standard,8,2.69,True,True,29,22.34,True
REQ-00013246,2025-01-02,2025-01-07 05:27:47.163815003,Caisse 08,Affiliation,Ouverture de droits,10,5.23,True,True,26,40.84,True
REQ-00016598,2025-01-02,2025-01-03 14:40:49.890838108,Caisse 01,Complémentaire santé,Demande standard,7,1.61,True,True,15,38.13,True
REQ-00014009,2025-01-02,2025-01-12 04:02:49.247036427,Caisse 01,Affiliation,Ouverture de droits,10,10.17,True,True,11,37.19,False
REQ-00015691,2025-01-02,2025-01-04 13:32:30.512833627,Caisse 03,Remboursements,Justificatif,5,2.56,True,True,22,37.07,True
REQ-00025051,2025-01-02,2025-01-09 05:32:37.614476385,Caisse 01,Remboursements,Ouverture de droits,5,7.23,True,True,16,38.53,False
REQ-00005462,2025-01-02,2025-01-07 15:38:35.417934245,Caisse 02,Affiliation,Demande standard,10,5.65,True,True,30,33.63,True
REQ-00024836,2025-01-02,2025-01-14 22:00:50.720610830,Caisse 05,Accidents du travail,Demande standard,10,12.92,True,True,12,31.94,False
REQ-00016030,2025-01-02,,Caisse 07,Remboursements,Mise à jour dossier,5,7.03,False,False,17,38.94,False
REQ-00017918,2025-01-02,2025-01-03 02:57:01.745969042,Caisse 06,Indemnités journalières,Demande standard,8,1.12,True,True,8,29.55,True
REQ-00020323,2025-01-02,2025-01-15 08:03:01.357455674,Caisse 01,Accidents du travail,Demande standard,10,13.34,True,False,12,30.96,False
REQ-00025588,2025-01-02,2025-01-05 23:56:50.999592295,Caisse 02,Indemnités journalières,Réclamation,8,4.0,True,True,24,29.97,True
REQ-00001482,2025-01-02,2025-01-10 10:15:27.515776633,Caisse 03,Complémentaire santé,Justificatif,7,8.43,True,True,22,29.97,False
REQ-00012806,2025-01-02,2025-01-04 20:22:20.153044968,Caisse 07,Affiliation,Demande standard,10,2.85,True,True,29,33.99,True
REQ-00029736,2025-01-02,2025-01-05 14:11:49.951961977,Caisse 02,Accidents du travail,Mise à jour dossier,10,3.59,True,True,26,37.16,True
REQ-00010887,2025-01-02,2025-01-03 07:59:52.814909650,Caisse 02,Remboursements,Mise à jour dossier,5,1.33,True,True,10,38.75,True
REQ-00020652,2025-01-02,2025-01-04 04:44:28.644865468,Caisse 07,Indemnités journalières,Ouverture de droits,8,2.2,True,True,30,31.9,True
REQ-00021909,2025-01-02,2025-01-05 09:11:59.068082140,Caisse 06,Remboursements,Ouverture de droits,5,3.38,True,True,28,35.18,True
REQ-00010366,2025-01-02,2025-01-05 03:47:03.993367799,Caisse 01,Affiliation,Demande standard,10,3.16,True,True,14,35.12,True
REQ-00017497,2025-01-02,2025-01-05 20:29:34.174310415,Caisse 01,Complémentaire santé,Ouverture de droits,7,3.85,True,False,15,31.55,True
REQ-00017168,2025-01-02,2025-01-08 05:36:29.650635789,Caisse 08,Remboursements,Demande standard,5,6.23,True,True,24,38.81,False
REQ-00003191,2025-01-02,2025-01-05 03:47:36.103668944,Caisse 04,Accidents du travail,Justificatif,10,3.16,True,True,30,35.31,True
REQ-00011493,2025-01-02,,Caisse 01,Indemnités journalières,Réclamation,8,7.28,False,False,20,37.93,False
REQ-00020885,2025-01-02,2025-01-03 15:20:32.813412855,Caisse 06,Affiliation,Mise à jour dossier,10,1.64,True,True,29,37.19,True
REQ-00021437,2025-01-02,2025-01-03 07:39:49.571099616,Caisse 02,Remboursements,Demande standard,5,1.32,True,True,19,28.49,True
REQ-00029005,2025-01-02,2025-01-08 22:49:10.307861077,Caisse 03,Accidents du travail,Demande standard,10,6.95,True,True,14,27.55,True
REQ-00012215,2025-01-02,,Caisse 03,Accidents du travail,Demande standard,10,20.3,False,False,19,34.27,False
REQ-00019430,2025-01-02,2025-01-06 06:35:26.705130213,Caisse 08,Indemnités journalières,Demande standard,8,4.27,True,True,22,32.72,True
REQ-00029851,2025-01-03,2025-01-13 10:31:59.589037035,Caisse 08,Accidents du travail,Demande standard,10,10.44,True,True,24,41.25,False
REQ-00006358,2025-01-03,2025-01-05 03:48:03.353415600,Caisse 02,Affiliation,Demande standard,10,2.16,True,True,25,31.9,True
REQ-00007205,2025-01-03,2025-01-11 22:53:31.298388748,Caisse 05,Indemnités journalières,Réclamation,8,8.95,True,True,29,29.18,False
REQ-00007212,2025-01-03,2025-01-08 10:54:31.988627985,Caisse 01,Complémentaire santé,Demande standard,7,5.45,True,True,10,37.38,True
REQ-00015858,2025-01-03,2025-01-05 19:46:22.144527696,Caisse 08,Affiliation,Demande standard,10,2.82,True,True,14,35.61,True
REQ-00012318,2025-01-03,2025-01-10 14:07:35.544145192,Caisse 01,Accidents du travail,Demande standard,10,7.59,True,True,15,33.34,True
REQ-00006229,2025-01-03,2025-01-05 02:28:37.822103860,Caisse 01,Indemnités journalières,Justificatif,8,2.1,True,True,18,31.9,True
REQ-00024516,2025-01-03,2025-01-08 05:37:12.713520984,Caisse 01,Affiliation,Ouverture de droits,10,5.23,True,True,9,32.52,True
REQ-00029881,2025-01-03,2025-01-05 04:19:20.097818486,Caisse 03,Complémentaire santé,Réclamation,7,2.18,True,True,24,41.67,True
REQ-00017430,2025-01-03,2025-01-12 06:44:29.049591888,Caisse 08,Accidents du travail,Réclamation,10,9.28,True,True,11,37.72,True
REQ-00027382,2025-01-03,2025-01-08 12:28:20.382623771,Caisse 04,Indemnités journalières,Réclamation,8,5.52,True,False,16,40.62,True
REQ-00000901,2025-01-03,2025-01-07 04:35:06.725066513,Caisse 04,Indemnités journalières,Demande standard,8,4.19,True,True,30,27.1,True
REQ-00018091,2025-01-03,2025-01-05 08:34:14.106221371,Caisse 08,Affiliation,Justificatif,10,2.36,True,True,9,26.17,True
REQ-00013174,2025-01-03,2025-01-08 05:33:46.146268658,Caisse 07,Remboursements,Réclamation,5,5.23,True,True,10,33.7,False
REQ-00024793,2025-01-03,2025-01-06 08:33:05.901835970,Caisse 02,Remboursements,Mise à jour dossier,5,3.36,True,True,30,36.62,True
REQ-00003234,2025-01-03,2025-01-05 17:50:07.567247590,Caisse 03,Complémentaire santé,Justificatif,7,2.74,True,True,22,29.48,True
REQ-00011151,2025-01-03,2025-01-07 16:26:14.520045923,Caisse 05,Indemnités journalières,Demande standard,8,4.68,True,True,17,34.61,True
REQ-00007067,2025-01-03,2025-01-08 09:05:04.688560642,Caisse 05,Accidents du travail,Ouverture de droits,10,5.38,True,True,25,33.99,True
REQ-00005170,2025-01-03,2025-01-05 03:35:31.315418255,Caisse 04,Remboursements,Demande standard,5,2.15,True,True,8,39.06,True
REQ-00006414,2025-01-03,2025-01-04 06:35:03.409906709,Caisse 05,Remboursements,Ouverture de droits,5,1.27,True,True,14,35.93,True
REQ-00006521,2025-01-03,2025-01-20 18:25:23.277654373,Caisse 05,Accidents du travail,Ouverture de droits,10,17.77,True,True,17,32.79,False
REQ-00024219,2025-01-03,2025-01-11 11:33:02.834738985,Caisse 06,Indemnités journalières,Ouverture de droits,8,8.48,True,True,23,31.18,False
REQ-00026133,2025-01-03,2025-01-09 20:53:23.231033384,Caisse 07,Accidents du travail,Demande standard,10,6.87,True,True,21,33.0,True
REQ-00002628,2025-01-03,2025-01-04 14:18:42.971369492,Caisse 05,Accidents du travail,Demande standard,10,1.6,True,True,25,28.61,True
REQ-00002789,2025-01-03,2025-01-03 21:14:38.152945449,Caisse 08,Complémentaire santé,Mise à jour dossier,7,0.89,True,True,20,25.74,True
REQ-00021441,2025-01-03,2025-01-04 17:12:26.773386860,Caisse 06,Affiliation,Demande standard,10,1.72,True,True,15,39.22,True
REQ-00028498,2025-01-03,2025-01-05 03:08:42.027343304,Caisse 06,Indemnités journalières,Justificatif,8,2.13,True,True,19,35.99,True
REQ-00026070,2025-01-03,2025-01-06 17:36:01.736578782,Caisse 08,Remboursements,Mise à jour dossier,5,3.73,True,True,11,33.96,True
REQ-00021395,2025-01-03,2025-01-03 10:20:11.515895422,Caisse 06,Indemnités journalières,Justificatif,8,0.43,True,True,25,26.46,True
REQ-00019811,2025-01-03,2025-01-18 17:15:11.323169202,Caisse 08,Indemnités journalières,Mise à jour dossier,8,15.72,True,True,26,29.1,False
REQ-00025022,2025-01-03,2025-01-12 03:43:47.646610204,Caisse 02,Accidents du travail,Ouverture de droits,10,9.16,True,True,21,39.58,True
REQ-00020862,2025-01-03,2025-01-10 01:17:03.586860712,Caisse 06,Remboursements,Demande standard,5,7.05,True,True,8,31.44,False
REQ-00001237,2025-01-03,2025-01-11 06:39:05.354123990,Caisse 03,Complémentaire santé,Demande standard,7,8.28,True,True,25,31.11,False
REQ-00001622,2025-01-03,2025-01-07 08:11:57.395592107,Caisse 04,Remboursements,Demande standard,5,4.34,True,True,12,29.4,True
REQ-00020484,2025-01-03,2025-01-26 08:48:46.765277115,Caisse 01,Affiliation,Demande standard,10,23.37,True,True,8,38.04,False
REQ-00006057,2025-01-03,2025-01-10 02:16:15.050898606,Caisse 08,Accidents du travail,Ouverture de droits,10,7.09,True,True,27,33.84,True
REQ-00016791,2025-01-03,2025-01-05 05:40:25.786985116,Caisse 06,Affiliation,Demande standard,10,2.24,True,True,23,29.02,True
REQ-00016987,2025-01-03,2025-01-06 07:57:47.640848319,Caisse 01,Indemnités journalières,Ouverture de droits,8,3.33,True,True,9,35.48,True
REQ-00024167,2025-01-03,2025-01-05 01:48:57.612030814,Caisse 04,Remboursements,Demande standard,5,2.08,True,True,24,32.86,True
REQ-00018684,2025-01-03,2025-01-13 14:23:52.664948154,Caisse 08,Indemnités journalières,Demande standard,8,10.6,True,True,8,29.81,False
REQ-00023748,2025-01-03,2025-01-04 18:43:56.747998767,Caisse 05,Indemnités journalières,Justificatif,8,1.78,True,True,15,35.7,True
REQ-00014932,2025-01-03,2025-01-15 07:38:29.064759097,Caisse 06,Indemnités journalières,Demande standard,8,12.32,True,True,15,35.22,False
REQ-00010312,2025-01-03,2025-01-13 09:23:53.517985068,Caisse 06,Affiliation,Demande standard,10,10.39,True,True,12,32.43,False
REQ-00010356,2025-01-03,2025-01-05 12:32:40.704951356,Caisse 08,Accidents du travail,Demande standard,10,2.52,True,True,26,24.32,True
REQ-00015493,2025-01-03,2025-01-11 23:55:32.331385597,Caisse 05,Accidents du travail,Demande standard,10,9.0,True,True,14,40.55,True
REQ-00015532,2025-01-03,2025-01-04 23:33:10.457853762,Caisse 07,Accidents du travail,Mise à jour dossier,10,1.98,True,True,11,33.26,True
REQ-00001550,2025-01-03,2025-01-05 21:22:44.729570616,Caisse 04,Remboursements,Demande standard,5,2.89,True,True,22,30.25,True
REQ-00012969,2025-01-03,2025-01-03 12:03:28.308212265,Caisse 01,Remboursements,Justificatif,5,0.5,True,True,20,35.43,True
REQ-00028899,2025-01-03,,Caisse 07,Indemnités journalières,Mise à jour dossier,8,8.99,False,False,10,38.38,False
REQ-00022413,2025-01-03,2025-01-04 16:48:15.638889093,Caisse 06,Complémentaire santé,Mise à jour dossier,7,1.7,True,True,28,32.95,True
REQ-00001739,2025-01-03,,Caisse 05,Complémentaire santé,Mise à jour dossier,7,6.21,False,False,24,43.18,False
REQ-00001294,2025-01-03,2025-01-07 12:56:33.605048172,Caisse 06,Affiliation,Ouverture de droits,10,4.54,True,True,9,34.32,True
REQ-00009546,2025-01-03,2025-01-09 20:18:00.740595862,Caisse 02,Affiliation,Réclamation,10,6.85,True,True,19,36.48,True
REQ-00010456,2025-01-03,2025-01-09 21:47:17.129965727,Caisse 06,Affiliation,Justificatif,10,6.91,True,True,9,33.57,True
REQ-00023220,2025-01-03,2025-01-08 07:30:42.007465080,Caisse 08,Affiliation,Mise à jour dossier,10,5.31,True,True,11,38.34,True
REQ-00019902,2025-01-03,2025-01-05 05:47:27.991796043,Caisse 01,Remboursements,Réclamation,5,2.24,True,True,28,31.32,True
REQ-00026564,2025-01-03,2025-01-07 20:35:12.579031927,Caisse 08,Remboursements,Demande standard,5,4.86,True,True,15,36.85,True
REQ-00023016,2025-01-03,2025-01-09 19:49:14.187379319,Caisse 06,Accidents du travail,Demande standard,10,6.83,True,True,17,33.62,True
REQ-00014352,2025-01-04,2025-01-20 14:53:27.746044958,Caisse 05,Indemnités journalières,Mise à jour dossier,8,16.62,True,True,16,28.98,False
REQ-00012084,2025-01-04,2025-01-10 06:09:32.644920067,Caisse 03,Indemnités journalières,Ouverture de droits,8,6.26,True,True,27,38.76,True
REQ-00009381,2025-01-04,2025-01-05 16:23:35.078198939,Caisse 06,Remboursements,Demande standard,5,1.68,True,True,8,39.47,True
REQ-00021401,2025-01-04,2025-01-07 15:58:23.936357720,Caisse 05,Remboursements,Ouverture de droits,5,3.67,True,True,12,39.5,True
REQ-00009550,2025-01-04,2025-01-13 06:04:33.641941422,Caisse 06,Accidents du travail,Réclamation,10,9.25,True,True,14,40.94,True
REQ-00023501,2025-01-04,2025-01-06 23:09:53.498625341,Caisse 06,Indemnités journalières,Justificatif,8,2.97,True,True,30,31.8,True
REQ-00019469,2025-01-04,2025-01-09 11:56:13.521967059,Caisse 06,Accidents du travail,Demande standard,10,5.5,True,True,9,33.14,True
REQ-00019372,2025-01-04,2025-01-09 03:59:15.573400569,Caisse 06,Indemnités journalières,Demande standard,8,5.17,True,True,16,33.61,True
REQ-00008989,2025-01-04,2025-01-11 22:36:27.986683458,Caisse 03,Affiliation,Réclamation,10,7.94,True,True,19,35.47,True
REQ-00006076,2025-01-04,2025-01-06 04:56:08.361830063,Caisse 03,Indemnités journalières,Demande standard,8,2.21,True,True,15,30.79,True
REQ-00023350,2025-01-04,2025-01-16 18:33:52.237984366,Caisse 07,Complémentaire santé,Mise à jour dossier,7,12.77,True,True,25,24.5,False
REQ-00022920,2025-01-04,2025-01-14 15:50:34.199126828,Caisse 08,Indemnités journalières,Demande standard,8,10.66,True,True,8,27.76,False
REQ-00012323,2025-01-04,2025-01-09 07:17:10.531807149,Caisse 05,Affiliation,Demande standard,10,5.3,True,True,15,31.54,True
REQ-00009691,2025-01-04,2025-01-05 06:07:15.964345770,Caisse 08,Complémentaire santé,Demande standard,7,1.26,True,True,24,34.22,True
REQ-00019407,2025-01-04,2025-01-10 05:50:25.074663561,Caisse 05,Complémentaire santé,Demande standard,7,6.24,True,False,20,37.86,True
REQ-00014406,2025-01-04,2025-01-07 09:15:42.689299305,Caisse 08,Accidents du travail,Mise à jour dossier,10,3.39,True,True,15,30.58,True
REQ-00022255,2025-01-04,2025-01-09 05:03:06.492475056,Caisse 05,Complémentaire santé,Mise à jour dossier,7,5.21,True,True,20,36.34,True
REQ-00008871,2025-01-04,2025-01-06 14:39:55.436305870,Caisse 02,Remboursements,Mise à jour dossier,5,2.61,True,True,27,29.4,True
REQ-00010787,2025-01-04,2025-01-13 20:07:56.484339539,Caisse 03,Accidents du travail,Demande standard,10,9.84,True,True,18,36.31,True
REQ-00010848,2025-01-04,2025-01-16 11:50:43.460381541,Caisse 03,Complémentaire santé,Mise à jour dossier,7,12.49,True,True,19,28.12,False
REQ-00000845,2025-01-04,2025-01-29 23:31:30.896368003,Caisse 05,Accidents du travail,Demande standard,10,25.98,True,True,25,32.48,False
REQ-00018447,2025-01-04,2025-01-09 20:22:53.469330326,Caisse 06,Affiliation,Demande standard,10,5.85,True,True,29,36.39,True
REQ-00007735,2025-01-04,2025-01-19 10:56:08.748501884,Caisse 05,Accidents du travail,Demande standard,10,15.46,True,True,10,29.11,False
REQ-00029616,2025-01-04,2025-01-10 22:03:54.875941698,Caisse 01,Affiliation,Mise à jour dossier,10,6.92,True,True,21,21.61,True
REQ-00010902,2025-01-04,2025-01-10 03:59:20.945579190,Caisse 05,Indemnités journalières,Réclamation,8,6.17,True,True,24,36.12,True
REQ-00013978,2025-01-04,2025-01-04 09:34:01.838348247,Caisse 04,Indemnités journalières,Mise à jour dossier,8,0.4,True,True,18,25.47,True
REQ-00008312,2025-01-04,2025-01-07 01:00:19.959575267,Caisse 07,Affiliation,Demande standard,10,3.04,True,True,17,30.05,True
REQ-00000381,2025-01-04,2025-01-10 14:20:35.922455810,Caisse 08,Indemnités journalières,Mise à jour dossier,8,6.6,True,True,12,39.89,True
REQ-00024725,2025-01-04,2025-01-08 05:42:56.979729780,Caisse 07,Affiliation,Demande standard,10,4.24,True,True,17,32.42,True
REQ-00029560,2025-01-04,2025-01-06 10:17:56.213048293,Caisse 08,Indemnités journalières,Demande standard,8,2.43,True,True,15,24.22,True
REQ-00000846,2025-01-04,2025-01-09 20:21:45.111751980,Caisse 08,Remboursements,Réclamation,5,5.85,True,True,28,28.44,False
REQ-00015497,2025-01-04,2025-01-08 01:42:22.495341493,Caisse 08,Remboursements,Demande standard,5,4.07,True,True,15,25.24,True
REQ-00028702,2025-01-04,2025-01-08 13:02:24.195965910,Caisse 03,Indemnités journalières,Demande standard,8,4.54,True,True,26,23.36,True
REQ-00011391,2025-01-04,2025-01-17 05:04:27.253633454,Caisse 06,Accidents du travail,Ouverture de droits,10,13.21,True,True,17,38.79,False
REQ-00021581,2025-01-04,2025-01-19 11:48:40.184301634,Caisse 04,Indemnités journalières,Ouverture de droits,8,15.49,True,True,27,28.08,False
REQ-00022635,2025-01-04,2025-01-04 18:37:40.352600179,Caisse 01,Remboursements,Demande standard,5,0.78,True,True,12,27.82,True
REQ-00023629,2025-01-04,2025-01-11 23:09:53.267976541,Caisse 02,Indemnités journalières,Demande standard,8,7.97,True,True,19,31.7,True
REQ-00019636,2025-01-04,2025-01-07 02:36:27.221711944,Caisse 02,Complémentaire santé,Demande standard,7,3.11,True,True,25,41.45,True
REQ-00014026,2025-01-04,2025-01-06 06:06:07.700439954,Caisse 04,Remboursements,Demande standard,5,2.25,True,True,29,31.22,True
REQ-00018430,2025-01-04,2025-01-07 06:05:50.174654971,Caisse 05,Indemnités journalières,Ouverture de droits,8,3.25,True,True,23,32.74,True
REQ-00012256,2025-01-04,2025-01-07 22:36:29.853684685,Caisse 06,Complémentaire santé,Ouverture de droits,7,3.94,True,True,16,43.06,True
REQ-00025595,2025-01-04,2025-01-18 01:20:01.861308179,Caisse 08,Indemnités journalières,Ouverture de droits,8,14.06,True,True,9,33.81,False
